HOG	OG	Gene Tree Parent Clade	53503-Pc.singCopy	uniProt.taxonomy_id_500485
N0.HOG0004580	OG0004443	-	53503-Pc.00g037190.m01.polypeptide.OG0006036	Pc20g09020
N0.HOG0004581	OG0004444	-	53503-Pc.00g083760.m01.polypeptide.OG0006038	Pc12g15140
N0.HOG0004582	OG0004445	-	53503-Pc.00g049830.m01.polypeptide.OG0006039	Pc12g15130
N0.HOG0004583	OG0004446	-	53503-Pc.00g049820.m01.polypeptide.OG0006040	Pc12g15120
N0.HOG0004584	OG0004447	-	53503-Pc.00g049810.m01.polypeptide.OG0006041	Pc12g15110
N0.HOG0004585	OG0004448	-	53503-Pc.00g049800.m01.polypeptide.OG0006042	Pc12g15100
N0.HOG0004586	OG0004449	-	53503-Pc.00g049780.m01.polypeptide.OG0006043	Pc12g15080
N0.HOG0004587	OG0004450	-	53503-Pc.00g049770.m01.polypeptide.OG0006044	Pc12g15070
N0.HOG0004588	OG0004451	-	53503-Pc.00g049750.m01.polypeptide.OG0006046	Pc12g15060
N0.HOG0004589	OG0004452	-	53503-Pc.00g049740.m01.polypeptide.OG0006047	Pc12g15040
N0.HOG0004590	OG0004453	-	53503-Pc.00g049730.m01.polypeptide.OG0006048	Pc12g15020
N0.HOG0004591	OG0004454	-	53503-Pc.00g049690.m01.polypeptide.OG0006049	Pc12g14980
N0.HOG0004592	OG0004455	-	53503-Pc.00g049670.m01.polypeptide.OG0006050	Pc12g14960
N0.HOG0004593	OG0004456	-	53503-Pc.00g049660.m01.polypeptide.OG0006051	Pc12g14950
N0.HOG0004594	OG0004457	-	53503-Pc.00g035660.m01.polypeptide.OG0006052	Pc13g07910
N0.HOG0004595	OG0004458	-	53503-Pc.00g035650.m01.polypeptide.OG0006053	Pc13g07920
N0.HOG0004596	OG0004459	-	53503-Pc.00g099540.m01.polypeptide.OG0006054	Pc12g01630
N0.HOG0004597	OG0004460	-	53503-Pc.00g078910.m01.polypeptide.OG0006055	Pc12g01610
N0.HOG0004598	OG0004461	-	53503-Pc.00g078900.m01.polypeptide.OG0006056	Pc12g01590
N0.HOG0004599	OG0004462	-	53503-Pc.00g078880.m01.polypeptide.OG0006057	Pc12g01560
N0.HOG0004600	OG0004463	-	53503-Pc.00g089520.m01.polypeptide.OG0006060	Pc12g01330
N0.HOG0004601	OG0004464	-	53503-Pc.00g095900.m01.polypeptide.OG0006062	Pc12g01290
N0.HOG0004602	OG0004465	-	53503-Pc.00g035020.m01.polypeptide.OG0006064	Pc22g07230
N0.HOG0004603	OG0004466	-	53503-Pc.00g035000.m01.polypeptide.OG0006065	Pc22g07220
N0.HOG0004604	OG0004467	-	53503-Pc.00g034990.m01.polypeptide.OG0006066	Pc22g07210
N0.HOG0004605	OG0004468	-	53503-Pc.00g037450.m01.polypeptide.OG0006067	Pc20g09320
N0.HOG0004606	OG0004469	-	53503-Pc.00g037410.m01.polypeptide.OG0006068	Pc20g09280
N0.HOG0004607	OG0004470	-	53503-Pc.00g037390.m01.polypeptide.OG0006070	Pc20g09260
N0.HOG0004608	OG0004471	-	53503-Pc.00g037380.m01.polypeptide.OG0006071	Pc20g09240
N0.HOG0004609	OG0004472	-	53503-Pc.00g037340.m01.polypeptide.OG0006073	Pc20g09200
N0.HOG0004610	OG0004473	-	53503-Pc.00g037330.m01.polypeptide.OG0006074	Pc20g09190
N0.HOG0004611	OG0004474	-	53503-Pc.00g037320.m01.polypeptide.OG0006075	Pc20g09180
N0.HOG0004612	OG0004475	-	53503-Pc.00g037310.m01.polypeptide.OG0006076	Pc20g09170
N0.HOG0004613	OG0004476	-	53503-Pc.00g037300.m01.polypeptide.OG0006077	Pc20g09160
N0.HOG0004614	OG0004477	-	53503-Pc.00g037290.m01.polypeptide.OG0006078	Pc20g09150
N0.HOG0004615	OG0004478	-	53503-Pc.00g090340.m01.polypeptide.OG0006079	Pc13g02260
N0.HOG0004616	OG0004479	-	53503-Pc.00g076260.m01.polypeptide.OG0006080	Pc13g02300
N0.HOG0004617	OG0004480	-	53503-Pc.00g076270.m01.polypeptide.OG0006081	Pc13g02310
N0.HOG0004618	OG0004481	-	53503-Pc.00g076280.m01.polypeptide.OG0006082	Pc13g02320
N0.HOG0004619	OG0004482	-	53503-Pc.00g076290.m01.polypeptide.OG0006083	Pc13g02330
N0.HOG0004620	OG0004483	-	53503-Pc.00g076310.m01.polypeptide.OG0006085	Pc13g02350
N0.HOG0004621	OG0004484	-	53503-Pc.00g076320.m01.polypeptide.OG0006086	Pc13g02370
N0.HOG0004622	OG0004485	-	53503-Pc.00g047920.m01.polypeptide.OG0006088	Pc22g14180
N0.HOG0004623	OG0004486	-	53503-Pc.00g100030.m01.polypeptide.OG0006089	Pc21g14360
N0.HOG0004624	OG0004487	-	53503-Pc.00g017330.m01.polypeptide.OG0006091	Pc21g16930
N0.HOG0004625	OG0004488	-	53503-Pc.00g017360.m01.polypeptide.OG0006093	Pc21g16960
N0.HOG0004626	OG0004489	-	53503-Pc.00g080480.m01.polypeptide.OG0006098	Pc13g01560
N0.HOG0004627	OG0004490	-	53503-Pc.00g065970.m01.polypeptide.OG0006099	Pc18g03390
N0.HOG0004628	OG0004491	-	53503-Pc.00g057770.m01.polypeptide.OG0006100	Pc18g03350
N0.HOG0004629	OG0004492	-	53503-Pc.00g057820.m01.polypeptide.OG0006103	Pc18g03300
N0.HOG0004630	OG0004493	-	53503-Pc.00g057830.m01.polypeptide.OG0006104	Pc18g03290
N0.HOG0004631	OG0004494	-	53503-Pc.00g057840.m01.polypeptide.OG0006105	Pc18g03280
N0.HOG0004632	OG0004495	-	53503-Pc.00g057850.m01.polypeptide.OG0006106	Pc18g03270
N0.HOG0004633	OG0004496	-	53503-Pc.00g057870.m01.polypeptide.OG0006108	Pc18g03240
N0.HOG0004634	OG0004497	-	53503-Pc.00g089320.m01.polypeptide.OG0006110	Pc22g06090
N0.HOG0004635	OG0004498	-	53503-Pc.00g089310.m01.polypeptide.OG0006111	Pc22g06080
N0.HOG0004636	OG0004499	-	53503-Pc.00g066500.m01.polypeptide.OG0006112	Pc22g06060
N0.HOG0004637	OG0004500	-	53503-Pc.00g041330.m01.polypeptide.OG0006113	Pc22g06340
N0.HOG0004638	OG0004501	-	53503-Pc.00g041320.m01.polypeptide.OG0006114	Pc22g06350
N0.HOG0004639	OG0004502	-	53503-Pc.00g041310.m01.polypeptide.OG0006115	Pc22g06360
N0.HOG0004640	OG0004503	-	53503-Pc.00g041300.m01.polypeptide.OG0006116	Pc22g06380
N0.HOG0004641	OG0004504	-	53503-Pc.00g041290.m01.polypeptide.OG0006117	Pc22g06390
N0.HOG0004642	OG0004505	-	53503-Pc.00g041270.m01.polypeptide.OG0006119	Pc22g06420
N0.HOG0004643	OG0004506	-	53503-Pc.00g097330.m01.polypeptide.OG0006120	Pc22g06430
N0.HOG0004644	OG0004507	-	53503-Pc.00g042160.m01.polypeptide.OG0006123	Pc16g11410
N0.HOG0004645	OG0004508	-	53503-Pc.00g092960.m01.polypeptide.OG0006126	Pc16g03290
N0.HOG0004646	OG0004509	-	53503-Pc.00g024860.m01.polypeptide.OG0006129	Pc22g08690
N0.HOG0004647	OG0004510	-	53503-Pc.00g024850.m01.polypeptide.OG0006130	Pc22g08680
N0.HOG0004648	OG0004511	-	53503-Pc.00g024820.m01.polypeptide.OG0006131	Pc22g08650
N0.HOG0004649	OG0004512	-	53503-Pc.00g024810.m01.polypeptide.OG0006132	Pc22g08640
N0.HOG0004650	OG0004513	-	53503-Pc.00g024730.m01.polypeptide.OG0006134	Pc22g08500
N0.HOG0004651	OG0004514	-	53503-Pc.00g024790.m01.polypeptide.OG0006139	Pc22g08600
N0.HOG0004652	OG0004515	-	53503-Pc.00g048810.m01.polypeptide.OG0006141	Pc21g10400
N0.HOG0004653	OG0004516	-	53503-Pc.00g048800.m01.polypeptide.OG0006142	Pc21g10390
N0.HOG0004654	OG0004517	-	53503-Pc.00g048780.m01.polypeptide.OG0006144	Pc21g10370
N0.HOG0004655	OG0004518	-	53503-Pc.00g048770.m01.polypeptide.OG0006145	Pc21g10360
N0.HOG0004656	OG0004519	-	53503-Pc.00g048760.m01.polypeptide.OG0006146	Pc21g10350
N0.HOG0004657	OG0004520	-	53503-Pc.00g048750.m01.polypeptide.OG0006147	Pc21g10340
N0.HOG0004658	OG0004521	-	53503-Pc.00g048740.m01.polypeptide.OG0006148	Pc21g10330
N0.HOG0004659	OG0004522	-	53503-Pc.00g048730.m01.polypeptide.OG0006149	Pc21g10320
N0.HOG0004660	OG0004523	-	53503-Pc.00g048720.m01.polypeptide.OG0006150	Pc21g10310
N0.HOG0004661	OG0004524	-	53503-Pc.00g048700.m01.polypeptide.OG0006151	Pc21g10260
N0.HOG0004662	OG0004525	-	53503-Pc.00g048690.m01.polypeptide.OG0006152	Pc21g10250
N0.HOG0004663	OG0004526	-	53503-Pc.00g066480.m01.polypeptide.OG0006155	Pc22g06040
N0.HOG0004664	OG0004527	-	53503-Pc.00g066470.m01.polypeptide.OG0006156	Pc22g06030
N0.HOG0004665	OG0004528	-	53503-Pc.00g066430.m01.polypeptide.OG0006158	Pc22g05940
N0.HOG0004666	OG0004529	-	53503-Pc.00g066420.m01.polypeptide.OG0006159	Pc22g05920
N0.HOG0004667	OG0004530	-	53503-Pc.00g066410.m01.polypeptide.OG0006160	Pc22g05900
N0.HOG0004668	OG0004531	-	53503-Pc.00g041470.m01.polypeptide.OG0006161	Pc22g06160
N0.HOG0004669	OG0004532	-	53503-Pc.00g100260.m01.polypeptide.OG0006162	Pc22g06130
N0.HOG0004670	OG0004533	-	53503-Pc.00g007560.m01.polypeptide.OG0006163	Pc16g12270
N0.HOG0004671	OG0004534	-	53503-Pc.00g095440.m01.polypeptide.OG0006164	Pc06g00390
N0.HOG0004672	OG0004535	-	53503-Pc.00g095430.m01.polypeptide.OG0006165	Pc06g00380
N0.HOG0004673	OG0004536	-	53503-Pc.00g095420.m01.polypeptide.OG0006166	Pc06g00370
N0.HOG0004674	OG0004537	-	53503-Pc.00g095400.m01.polypeptide.OG0006168	Pc06g00360
N0.HOG0004675	OG0004538	-	53503-Pc.00g095380.m01.polypeptide.OG0006169	Pc06g00350
N0.HOG0004676	OG0004539	-	53503-Pc.00g056600.m01.polypeptide.OG0006171	Pc13g02550
N0.HOG0004677	OG0004540	-	53503-Pc.00g056590.m01.polypeptide.OG0006172	Pc13g02540
N0.HOG0004678	OG0004541	-	53503-Pc.00g056580.m01.polypeptide.OG0006173	Pc13g02520
N0.HOG0004679	OG0004542	-	53503-Pc.00g056550.m01.polypeptide.OG0006174	Pc13g02480
N0.HOG0004680	OG0004543	-	53503-Pc.00g001640.m01.polypeptide.OG0006175	Pc21g03130
N0.HOG0004681	OG0004544	-	53503-Pc.00g001660.m01.polypeptide.OG0006177	Pc21g03110
N0.HOG0004682	OG0004545	-	53503-Pc.00g084220.m01.polypeptide.OG0006180	Pc21g03030
N0.HOG0004683	OG0004546	-	53503-Pc.00g080370.m01.polypeptide.OG0006181	Pc18g02790
N0.HOG0004684	OG0004547	-	53503-Pc.00g080360.m01.polypeptide.OG0006182	Pc18g02810
N0.HOG0004685	OG0004548	-	53503-Pc.00g080350.m01.polypeptide.OG0006183	Pc18g02820
N0.HOG0004686	OG0004549	-	53503-Pc.00g060480.m01.polypeptide.OG0006184	Pc18g02910
N0.HOG0004687	OG0004550	-	53503-Pc.00g060490.m01.polypeptide.OG0006185	Pc18g02920
N0.HOG0004688	OG0004551	-	53503-Pc.00g060520.m01.polypeptide.OG0006186	Pc18g02950
N0.HOG0004689	OG0004552	-	53503-Pc.00g060550.m01.polypeptide.OG0006187	Pc18g03000
N0.HOG0004690	OG0004553	-	53503-Pc.00g022520.m01.polypeptide.OG0006188	Pc18g01990
N0.HOG0004691	OG0004554	-	53503-Pc.00g022490.m01.polypeptide.OG0006189	Pc18g02020
N0.HOG0004692	OG0004555	-	53503-Pc.00g022480.m01.polypeptide.OG0006190	Pc18g02030
N0.HOG0004693	OG0004556	-	53503-Pc.00g022450.m01.polypeptide.OG0006192	Pc18g02070
N0.HOG0004694	OG0004557	-	53503-Pc.00g022430.m01.polypeptide.OG0006193	Pc18g02100
N0.HOG0004695	OG0004558	-	53503-Pc.00g022390.m01.polypeptide.OG0006195	Pc18g02160
N0.HOG0004696	OG0004559	-	53503-Pc.00g022380.m01.polypeptide.OG0006196	Pc18g02170
N0.HOG0004697	OG0004560	-	53503-Pc.00g098920.m01.polypeptide.OG0006198	Pc16g06040
N0.HOG0004698	OG0004561	-	53503-Pc.00g063260.m01.polypeptide.OG0006199	Pc16g06020
N0.HOG0004699	OG0004562	-	53503-Pc.00g063270.m01.polypeptide.OG0006200	Pc16g06000
N0.HOG0004700	OG0004563	-	53503-Pc.00g063360.m01.polypeptide.OG0006201	Pc16g05870
N0.HOG0004701	OG0004564	-	53503-Pc.00g063370.m01.polypeptide.OG0006202	Pc16g05850
N0.HOG0004702	OG0004565	-	53503-Pc.00g031130.m01.polypeptide.OG0006205	Pc22g15190
N0.HOG0004703	OG0004566	-	53503-Pc.00g031120.m01.polypeptide.OG0006206	Pc22g15180
N0.HOG0004704	OG0004567	-	53503-Pc.00g031110.m01.polypeptide.OG0006207	Pc22g15170
N0.HOG0004705	OG0004568	-	53503-Pc.00g031020.m01.polypeptide.OG0006210	Pc22g15030
N0.HOG0004706	OG0004569	-	53503-Pc.00g042630.m01.polypeptide.OG0006211	Pc22g11290
N0.HOG0004707	OG0004570	-	53503-Pc.00g042660.m01.polypeptide.OG0006213	Pc22g11250
N0.HOG0004708	OG0004571	-	53503-Pc.00g042710.m01.polypeptide.OG0006214	Pc22g11200
N0.HOG0004709	OG0004572	-	53503-Pc.00g042740.m01.polypeptide.OG0006217	Pc22g11160
N0.HOG0004710	OG0004573	-	53503-Pc.00g042760.m01.polypeptide.OG0006218	Pc22g11140
N0.HOG0004711	OG0004574	-	53503-Pc.00g042770.m01.polypeptide.OG0006219	Pc22g11120
N0.HOG0004712	OG0004575	-	53503-Pc.00g042780.m01.polypeptide.OG0006220	Pc22g11110
N0.HOG0004713	OG0004576	-	53503-Pc.00g042790.m01.polypeptide.OG0006221	Pc22g11100
N0.HOG0004714	OG0004577	-	53503-Pc.00g050080.m01.polypeptide.OG0006222	Pc22g22360
N0.HOG0004715	OG0004578	-	53503-Pc.00g050060.m01.polypeptide.OG0006223	Pc22g22380
N0.HOG0004716	OG0004579	-	53503-Pc.00g050030.m01.polypeptide.OG0006224	Pc22g22410
N0.HOG0004717	OG0004580	-	53503-Pc.00g036130.m01.polypeptide.OG0006225	Pc22g02080
N0.HOG0004718	OG0004581	-	53503-Pc.00g036120.m01.polypeptide.OG0006226	Pc22g02070
N0.HOG0004719	OG0004582	-	53503-Pc.00g036110.m01.polypeptide.OG0006227	Pc22g02060
N0.HOG0004720	OG0004583	-	53503-Pc.00g036100.m01.polypeptide.OG0006228	Pc22g02050
N0.HOG0004721	OG0004584	-	53503-Pc.00g036080.m01.polypeptide.OG0006229	Pc22g02030
N0.HOG0004722	OG0004585	-	53503-Pc.00g036040.m01.polypeptide.OG0006232	Pc22g01980
N0.HOG0004723	OG0004586	-	53503-Pc.00g021360.m01.polypeptide.OG0006235	Pc22g01910
N0.HOG0004724	OG0004587	-	53503-Pc.00g021370.m01.polypeptide.OG0006236	Pc22g01900
N0.HOG0004725	OG0004588	-	53503-Pc.00g021450.m01.polypeptide.OG0006237	Pc22g01780
N0.HOG0004726	OG0004589	-	53503-Pc.00g050370.m01.polypeptide.OG0006240	Pc16g08960
N0.HOG0004727	OG0004590	-	53503-Pc.00g050360.m01.polypeptide.OG0006241	Pc16g08950
N0.HOG0004728	OG0004591	-	53503-Pc.00g050330.m01.polypeptide.OG0006242	Pc16g08920
N0.HOG0004729	OG0004592	-	53503-Pc.00g050310.m01.polypeptide.OG0006244	Pc16g08890
N0.HOG0004730	OG0004593	-	53503-Pc.00g064150.m01.polypeptide.OG0006245	Pc16g08880
N0.HOG0004731	OG0004594	-	53503-Pc.00g064140.m01.polypeptide.OG0006246	Pc16g08870
N0.HOG0004732	OG0004595	-	53503-Pc.00g064130.m01.polypeptide.OG0006247	Pc16g08860
N0.HOG0004733	OG0004596	-	53503-Pc.00g064110.m01.polypeptide.OG0006248	Pc16g08840
N0.HOG0004734	OG0004597	-	53503-Pc.00g062860.m01.polypeptide.OG0006249	Pc22g09110
N0.HOG0004735	OG0004598	-	53503-Pc.00g062850.m01.polypeptide.OG0006250	Pc22g09090
N0.HOG0004736	OG0004599	-	53503-Pc.00g062840.m01.polypeptide.OG0006251	Pc22g09070
N0.HOG0004737	OG0004600	-	53503-Pc.00g062820.m01.polypeptide.OG0006252	Pc22g09030
N0.HOG0004738	OG0004601	-	53503-Pc.00g062750.m01.polypeptide.OG0006255	Pc22g08940
N0.HOG0004739	OG0004602	-	53503-Pc.00g029300.m01.polypeptide.OG0006256	Pc22g05700
N0.HOG0004740	OG0004603	-	53503-Pc.00g029290.m01.polypeptide.OG0006257	Pc22g05690
N0.HOG0004741	OG0004604	-	53503-Pc.00g029270.m01.polypeptide.OG0006258	Pc22g05660
N0.HOG0004742	OG0004605	-	53503-Pc.00g041340.m01.polypeptide.OG0006259	Pc22g06330
N0.HOG0004743	OG0004606	-	53503-Pc.00g097150.m01.polypeptide.OG0006260	Pc20g03030
N0.HOG0004744	OG0004607	-	53503-Pc.00g029070.m01.polypeptide.OG0006262	Pc20g02990
N0.HOG0004745	OG0004608	-	53503-Pc.00g029060.m01.polypeptide.OG0006263	Pc20g02980
N0.HOG0004746	OG0004609	-	53503-Pc.00g029050.m01.polypeptide.OG0006264	Pc20g02970
N0.HOG0004747	OG0004610	-	53503-Pc.00g029040.m01.polypeptide.OG0006265	Pc20g02960
N0.HOG0004748	OG0004611	-	53503-Pc.00g029030.m01.polypeptide.OG0006266	Pc20g02950
N0.HOG0004749	OG0004612	-	53503-Pc.00g028990.m01.polypeptide.OG0006267	Pc20g02900
N0.HOG0004750	OG0004613	-	53503-Pc.00g028540.m01.polypeptide.OG0006268	PAN2
N0.HOG0004751	OG0004614	-	53503-Pc.00g028530.m01.polypeptide.OG0006269	Pc12g10680
N0.HOG0004752	OG0004615	-	53503-Pc.00g028470.m01.polypeptide.OG0006271	Pc12g10620
N0.HOG0004753	OG0004616	-	53503-Pc.00g028460.m01.polypeptide.OG0006272	Pc12g10600
N0.HOG0004754	OG0004617	-	53503-Pc.00g074930.m01.polypeptide.OG0006273	Pc16g05080
N0.HOG0004755	OG0004618	-	53503-Pc.00g097310.m01.polypeptide.OG0006274	Pc22g19890
N0.HOG0004756	OG0004619	-	53503-Pc.00g029900.m01.polypeptide.OG0006275	Pc22g19630
N0.HOG0004757	OG0004620	-	53503-Pc.00g029910.m01.polypeptide.OG0006276	Pc22g19640
N0.HOG0004758	OG0004621	-	53503-Pc.00g029920.m01.polypeptide.OG0006277	Pc22g19650
N0.HOG0004759	OG0004622	-	53503-Pc.00g029980.m01.polypeptide.OG0006278	Pc22g19720
N0.HOG0004760	OG0004623	-	53503-Pc.00g029990.m01.polypeptide.OG0006279	Pc22g19730
N0.HOG0004761	OG0004624	-	53503-Pc.00g030010.m01.polypeptide.OG0006280	Pc22g19750
N0.HOG0004762	OG0004625	-	53503-Pc.00g030020.m01.polypeptide.OG0006281	Pc22g19760
N0.HOG0004763	OG0004626	-	53503-Pc.00g030030.m01.polypeptide.OG0006282	Pc22g19770
N0.HOG0004764	OG0004627	-	53503-Pc.00g000550.m01.polypeptide.OG0006283	Pc20g14690
N0.HOG0004765	OG0004628	-	53503-Pc.00g000540.m01.polypeptide.OG0006284	Pc20g14680
N0.HOG0004766	OG0004629	-	53503-Pc.00g000640.m01.polypeptide.OG0006286	Pc20g14800
N0.HOG0004767	OG0004630	-	53503-Pc.00g000660.m01.polypeptide.OG0006288	Pc20g14830
N0.HOG0004768	OG0004631	-	53503-Pc.00g034590.m01.polypeptide.OG0006289	Pc20g07240
N0.HOG0004769	OG0004632	-	53503-Pc.00g034610.m01.polypeptide.OG0006290	Pc20g07220
N0.HOG0004770	OG0004633	-	53503-Pc.00g034620.m01.polypeptide.OG0006291	Pc20g07210
N0.HOG0004771	OG0004634	-	53503-Pc.00g034630.m01.polypeptide.OG0006292	Pc20g07200
N0.HOG0004772	OG0004635	-	53503-Pc.00g034660.m01.polypeptide.OG0006293	Pc20g07100
N0.HOG0004773	OG0004636	-	53503-Pc.00g034670.m01.polypeptide.OG0006294	Pc20g07080
N0.HOG0004774	OG0004637	-	53503-Pc.00g034680.m01.polypeptide.OG0006295	Pc20g07070
N0.HOG0004775	OG0004638	-	53503-Pc.00g034690.m01.polypeptide.OG0006296	Pc20g07060
N0.HOG0004776	OG0004639	-	53503-Pc.00g093720.m01.polypeptide.OG0006297	Pc20g15140
N0.HOG0004777	OG0004640	-	53503-Pc.00g093710.m01.polypeptide.OG0006298	Pc20g15130
N0.HOG0004778	OG0004641	-	53503-Pc.00g093700.m01.polypeptide.OG0006299	Pc20g15120
N0.HOG0004779	OG0004642	-	53503-Pc.00g000800.m01.polypeptide.OG0006300	Pc20g15040
N0.HOG0004780	OG0004643	-	53503-Pc.00g093670.m01.polypeptide.OG0006301	Pc20g15090
N0.HOG0004781	OG0004644	-	53503-Pc.00g093680.m01.polypeptide.OG0006302	Pc20g15100
N0.HOG0004782	OG0004645	-	53503-Pc.00g093690.m01.polypeptide.OG0006303	Pc20g15110
N0.HOG0004783	OG0004646	-	53503-Pc.00g000790.m01.polypeptide.OG0006304	Pc20g15010
N0.HOG0004784	OG0004647	-	53503-Pc.00g000780.m01.polypeptide.OG0006305	Pc20g15000
N0.HOG0004785	OG0004648	-	53503-Pc.00g065810.m01.polypeptide.OG0006307	Pc21g02410
N0.HOG0004786	OG0004649	-	53503-Pc.00g065800.m01.polypeptide.OG0006308	Pc21g02380
N0.HOG0004787	OG0004650	-	53503-Pc.00g097810.m01.polypeptide.OG0006310	Pc21g02360
N0.HOG0004788	OG0004651	-	53503-Pc.00g057990.m01.polypeptide.OG0006311	Pc18g03100
N0.HOG0004789	OG0004652	-	53503-Pc.00g100380.m01.polypeptide.OG0006312	Pc18g03090
N0.HOG0004790	OG0004653	-	53503-Pc.00g100390.m01.polypeptide.OG0006313	Pc18g03080
N0.HOG0004791	OG0004654	-	53503-Pc.00g060610.m01.polypeptide.OG0006314	Pc18g03070
N0.HOG0004792	OG0004655	-	53503-Pc.00g042620.m01.polypeptide.OG0006315	Pc22g11310
N0.HOG0004793	OG0004656	-	53503-Pc.00g042600.m01.polypeptide.OG0006316	Pc22g11330
N0.HOG0004794	OG0004657	-	53503-Pc.00g042590.m01.polypeptide.OG0006317	Pc22g11340
N0.HOG0004795	OG0004658	-	53503-Pc.00g099660.m01.polypeptide.OG0006319	Pc22g11370
N0.HOG0004796	OG0004659	-	53503-Pc.00g099670.m01.polypeptide.OG0006320	Pc22g11380
N0.HOG0004797	OG0004660	-	53503-Pc.00g022880.m01.polypeptide.OG0006321	Pc22g11390
N0.HOG0004798	OG0004661	-	53503-Pc.00g022890.m01.polypeptide.OG0006322	Pc22g11420
N0.HOG0004799	OG0004662	-	53503-Pc.00g022920.m01.polypeptide.OG0006323	Pc22g11450
N0.HOG0004800	OG0004663	-	53503-Pc.00g016530.m01.polypeptide.OG0006324	Pc22g16600
N0.HOG0004801	OG0004664	-	53503-Pc.00g096920.m01.polypeptide.OG0006325	Pc22g16570
N0.HOG0004802	OG0004665	-	53503-Pc.00g016600.m01.polypeptide.OG0006326	Pc22g16710
N0.HOG0004803	OG0004666	-	53503-Pc.00g091360.m01.polypeptide.OG0006330	Pc21g10710
N0.HOG0004804	OG0004667	-	53503-Pc.00g036170.m01.polypeptide.OG0006331	Pc22g02150
N0.HOG0004805	OG0004668	-	53503-Pc.00g036160.m01.polypeptide.OG0006332	Pc22g02120
N0.HOG0004806	OG0004669	-	53503-Pc.00g030940.m01.polypeptide.OG0006333	Pc22g14890
N0.HOG0004807	OG0004670	-	53503-Pc.00g030930.m01.polypeptide.OG0006334	Pc22g14880
N0.HOG0004808	OG0004671	-	53503-Pc.00g030900.m01.polypeptide.OG0006336	Pc22g14850
N0.HOG0004809	OG0004672	-	53503-Pc.00g070640.m01.polypeptide.OG0006337	Pc12g11060
N0.HOG0004810	OG0004673	-	53503-Pc.00g070650.m01.polypeptide.OG0006338	Pc12g11050
N0.HOG0004811	OG0004674	-	53503-Pc.00g087860.m01.polypeptide.OG0006339	Pc12g11040
N0.HOG0004812	OG0004675	-	53503-Pc.00g087870.m01.polypeptide.OG0006340	Pc12g11020
N0.HOG0004813	OG0004676	-	53503-Pc.00g028450.m01.polypeptide.OG0006342	Pc12g10580
N0.HOG0004814	OG0004677	-	53503-Pc.00g074870.m01.polypeptide.OG0006343	Pc16g05150
N0.HOG0004815	OG0004678	-	53503-Pc.00g070130.m01.polypeptide.OG0006345	Pc22g18280
N0.HOG0004816	OG0004679	-	53503-Pc.00g070120.m01.polypeptide.OG0006346	Pc22g18290
N0.HOG0004817	OG0004680	-	53503-Pc.00g070090.m01.polypeptide.OG0006347	Pc22g18320
N0.HOG0004818	OG0004681	-	53503-Pc.00g095110.m01.polypeptide.OG0006349	Pc22g18360
N0.HOG0004819	OG0004682	-	53503-Pc.00g083800.m01.polypeptide.OG0006350	Pc12g15210
N0.HOG0004820	OG0004683	-	53503-Pc.00g046490.m01.polypeptide.OG0006351	Pc12g15290
N0.HOG0004821	OG0004684	-	53503-Pc.00g046500.m01.polypeptide.OG0006352	Pc12g15280
N0.HOG0004822	OG0004685	-	53503-Pc.00g053410.m01.polypeptide.OG0006354	Pc22g10190
N0.HOG0004823	OG0004686	-	53503-Pc.00g053420.m01.polypeptide.OG0006355	Pc22g10200
N0.HOG0004824	OG0004687	-	53503-Pc.00g053430.m01.polypeptide.OG0006356	Pc22g10210
N0.HOG0004825	OG0004688	-	53503-Pc.00g053460.m01.polypeptide.OG0006357	Pc22g10240
N0.HOG0004826	OG0004689	-	53503-Pc.00g093770.m01.polypeptide.OG0006358	Pc22g10260
N0.HOG0004827	OG0004690	-	53503-Pc.00g093750.m01.polypeptide.OG0006359	Pc22g10280
N0.HOG0004828	OG0004691	-	53503-Pc.00g032590.m01.polypeptide.OG0006361	Pc22g04650
N0.HOG0004829	OG0004692	-	53503-Pc.00g032550.m01.polypeptide.OG0006363	Pc22g04600
N0.HOG0004830	OG0004693	-	53503-Pc.00g051590.m01.polypeptide.OG0006364	Pc12g12430
N0.HOG0004831	OG0004694	-	53503-Pc.00g096570.m01.polypeptide.OG0006365	Pc21g21880
N0.HOG0004832	OG0004695	-	53503-Pc.00g051540.m01.polypeptide.OG0006366	Pc12g12500
N0.HOG0004833	OG0004696	-	53503-Pc.00g051530.m01.polypeptide.OG0006367	Pc12g12510
N0.HOG0004834	OG0004697	-	53503-Pc.00g005670.m01.polypeptide.OG0006371	Pc18g00170
N0.HOG0004835	OG0004698	-	53503-Pc.00g005630.m01.polypeptide.OG0006372	Pc18g00120
N0.HOG0004836	OG0004699	-	53503-Pc.00g037200.m01.polypeptide.OG0006373	Pc20g09030
N0.HOG0004837	OG0004700	-	53503-Pc.00g037210.m01.polypeptide.OG0006374	Pc20g09050
N0.HOG0004838	OG0004701	-	53503-Pc.00g037220.m01.polypeptide.OG0006375	Pc20g09060
N0.HOG0004839	OG0004702	-	53503-Pc.00g037240.m01.polypeptide.OG0006376	Pc20g09080
N0.HOG0004840	OG0004703	-	53503-Pc.00g037250.m01.polypeptide.OG0006377	Pc20g09090
N0.HOG0004841	OG0004704	-	53503-Pc.00g041950.m01.polypeptide.OG0006378	Pc16g13220
N0.HOG0004842	OG0004705	-	53503-Pc.00g041910.m01.polypeptide.OG0006380	Pc16g13180
